model,model_key,type,dataset,rho,p
microsoft/phi-1,phi_1,unknown,McCloskey1978,0.09605829530714523,0.03315638791277843
microsoft/phi-1,phi_1,unknown,Rosch1975,-0.04097133722196806,0.33098637582003904
microsoft/phi-1,phi_1,unknown,Rosch1973,-0.03222215165060185,0.8278861819267874
gpt2-medium,gpt2_medium,decoder,McCloskey1978,0.15315956967276634,0.0006526493586145866
gpt2-medium,gpt2_medium,decoder,Rosch1975,-0.056590595829851736,0.1791940504121165
gpt2-medium,gpt2_medium,decoder,Rosch1973,-0.06314020272849805,0.6698579260670592
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,McCloskey1978,0.03445983888426184,0.4456790246170954
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,Rosch1975,-0.016773918207003274,0.6907359874426747
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,Rosch1973,-0.05162064766959824,0.7275071056732877
roberta-large,roberta_large,encoder,McCloskey1978,0.17573938956826762,8.902340894106033e-05
roberta-large,roberta_large,encoder,Rosch1975,-0.08650670672126427,0.039826710824124506
roberta-large,roberta_large,encoder,Rosch1973,0.04890377147646148,0.7413381676886177
Qwen/Qwen2.5-1.5B,Qwen2_5_1_5B,decoder,McCloskey1978,0.12283417186606288,0.006371941890321334
Qwen/Qwen2.5-1.5B,Qwen2_5_1_5B,decoder,Rosch1975,-0.005593557126830676,0.8944591785453485
Qwen/Qwen2.5-1.5B,Qwen2_5_1_5B,decoder,Rosch1973,-0.17616225236298683,0.23102990458191003
Qwen/Qwen1.5-0.5B,Qwen1_5_0_5B,unknown,McCloskey1978,0.09965074090419601,0.027088370216549452
Qwen/Qwen1.5-0.5B,Qwen1_5_0_5B,unknown,Rosch1975,-0.02489475902812405,0.5548402762520199
Qwen/Qwen1.5-0.5B,Qwen1_5_0_5B,unknown,Rosch1973,-0.09596006714158999,0.5164638079430781
word2vec,word2vec,classic,McCloskey1978,0.3439764982499523,4.120576383379746e-15
word2vec,word2vec,classic,Rosch1975,-0.32767670758662865,1.314074430387252e-15
word2vec,word2vec,classic,Rosch1973,-0.26831869283418536,0.06519206863794585
Qwen/Qwen2.5-14B,Qwen2_5_14B,decoder,McCloskey1978,0.02969720096282462,0.5110618310471028
Qwen/Qwen2.5-14B,Qwen2_5_14B,decoder,Rosch1975,-0.01941334450144412,0.6451779099842488
Qwen/Qwen2.5-14B,Qwen2_5_14B,decoder,Rosch1973,-0.0539028236718331,0.7159547786222478
microsoft/phi-2,phi_2,decoder,McCloskey1978,0.1031484708009908,0.022124096032508138
microsoft/phi-2,phi_2,decoder,Rosch1975,-0.0453895094931102,0.2814525187343734
microsoft/phi-2,phi_2,decoder,Rosch1973,-0.003205913907901364,0.982746468932301
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek_R1_Distill_Qwen_14B,decoder,McCloskey1978,0.03130948385622516,0.4883840221763103
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek_R1_Distill_Qwen_14B,decoder,Rosch1975,-0.017547871809052228,0.6772516209532177
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek_R1_Distill_Qwen_14B,decoder,Rosch1973,-0.054446198910460444,0.7132133556423128
Qwen/Qwen2.5-0.5B,Qwen2_5_0_5B,decoder,McCloskey1978,0.11442623900205966,0.011085613363466473
Qwen/Qwen2.5-0.5B,Qwen2_5_0_5B,decoder,Rosch1975,-0.0021536635393529942,0.9592628206733189
Qwen/Qwen2.5-0.5B,Qwen2_5_0_5B,decoder,Rosch1973,-0.13801731061134687,0.3495337927225042
google/gemma-2-9b,gemma_2_9b,decoder,McCloskey1978,0.1970585837979146,1.0671498155792772e-05
google/gemma-2-9b,gemma_2_9b,decoder,Rosch1975,-0.11878705950220608,0.00469424100215122
google/gemma-2-9b,gemma_2_9b,decoder,Rosch1973,-0.24522524519252298,0.09296792242245151
google/gemma-2-2b,gemma_2_2b,decoder,McCloskey1978,0.18843199873225652,2.590867474408405e-05
google/gemma-2-2b,gemma_2_2b,decoder,Rosch1975,-0.10351942967602488,0.01382431308754897
google/gemma-2-2b,gemma_2_2b,decoder,Rosch1973,-0.2358248535642698,0.1066087440433843
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek_R1_Distill_Qwen_32B,decoder,McCloskey1978,0.034814418191922394,0.4410089884942725
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek_R1_Distill_Qwen_32B,decoder,Rosch1975,-0.016542281029652446,0.6947910776892826
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek_R1_Distill_Qwen_32B,decoder,Rosch1973,-0.041242180611815844,0.7807661570486125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek_R1_Distill_Qwen_7B,decoder,McCloskey1978,0.05891225870679281,0.19204731256548252
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek_R1_Distill_Qwen_7B,decoder,Rosch1975,-0.030183159207110538,0.4739791464225515
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek_R1_Distill_Qwen_7B,decoder,Rosch1973,-0.050370884620755334,0.7338590400026755
gpt2,gpt2,decoder,McCloskey1978,0.1570665419276354,0.0004709278753430282
gpt2,gpt2,decoder,Rosch1975,-0.05557994848705152,0.18709745945895798
gpt2,gpt2,decoder,Rosch1973,-0.07868073455324025,0.5950222656749654
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,McCloskey1978,0.11652303300682305,0.009685803552003514
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,Rosch1975,-0.01943160801004179,0.6448670086196885
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,Rosch1973,-0.13502874679889645,0.36016684439391966
bert-large-uncased,bert_large_uncased,encoder,McCloskey1978,0.13707492930301304,0.002310374342291265
bert-large-uncased,bert_large_uncased,encoder,Rosch1975,-0.09196707851727455,0.028828392598758194
bert-large-uncased,bert_large_uncased,encoder,Rosch1973,-0.1071535970573134,0.4685109310576331
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,McCloskey1978,0.10564710120215948,0.019079788125880716
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,Rosch1975,-0.018898173838158918,0.6539730209946173
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,Rosch1973,-0.09161306523257118,0.5357269425200442
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,McCloskey1978,0.10384075188461735,0.021241099985963394
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,Rosch1975,0.005305532614191954,0.8998643843782533
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,Rosch1973,-0.04781702099920678,0.7468935808111294
glove,glove,classic,McCloskey1978,0.371504499489388,1.508908328416714e-17
glove,glove,classic,Rosch1975,-0.33081240875345175,6.783985520154489e-16
glove,glove,classic,Rosch1973,-0.23941113013921034,0.10123443503368254
microsoft/deberta-large,deberta_large,encoder,McCloskey1978,0.15885198325815295,0.00040465590396015214
microsoft/deberta-large,deberta_large,encoder,Rosch1975,-0.049483879561947046,0.2402616750604943
microsoft/deberta-large,deberta_large,encoder,Rosch1973,-0.07862639702937753,0.5952773991546961
bert-base-uncased,bert_base_uncased,encoder,McCloskey1978,0.1354178579747574,0.0026129149085529803
bert-base-uncased,bert_base_uncased,encoder,Rosch1975,-0.08355714864385179,0.0471216853319035
bert-base-uncased,bert_base_uncased,encoder,Rosch1973,-0.13676754756250395,0.35395667595234986
Qwen/Qwen2-7B,Qwen2_7B,decoder,McCloskey1978,0.12432438234365474,0.0057562183193926725
Qwen/Qwen2-7B,Qwen2_7B,decoder,Rosch1975,-0.04878768643253418,0.24694919574955582
Qwen/Qwen2-7B,Qwen2_7B,decoder,Rosch1973,-0.05058823471620627,0.7327530759584789
