model,model_key,type,dataset,n_items,k,ami_static,ami_ctx,rho,p
microsoft/phi-1,phi_1,unknown,McCloskey1978,492,18,0.038916126472492915,0.23933495660307835,0.1050089793620304,0.019820347092687842
microsoft/phi-1,phi_1,unknown,Rosch1975,565,10,0.028637605802421678,0.3407544261556803,-0.03837648852592591,0.3625515244797492
microsoft/phi-1,phi_1,unknown,Rosch1973,48,8,0.02321993742041645,0.18322175979956126,-0.04814304614238319,0.7452256066458515
gpt2-medium,gpt2_medium,decoder,McCloskey1978,492,18,0.14056762997031527,0.008988665599619625,0.1742697388027094,0.00010214967864018649
gpt2-medium,gpt2_medium,decoder,Rosch1975,565,10,0.2713113834134489,0.11448250783528335,-0.048654585707763154,0.24824240549240695
gpt2-medium,gpt2_medium,decoder,Rosch1973,48,8,0.18820230756229414,-0.04387244359485876,-0.13214885803417148,0.37059684352161776
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,McCloskey1978,492,18,0.04953053169203152,0.2183383486757928,0.05325934358364067,0.23832590422905303
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,Rosch1975,565,10,0.04993044074793709,0.3034111123929731,-0.013165095481713228,0.7548495864815183
Qwen/Qwen2.5-32B,Qwen2.5-32B,unknown,Rosch1973,48,8,0.01627723827972059,0.2990922284991482,-0.051892335288911906,0.7261286258573936
roberta-large,roberta_large,encoder,McCloskey1978,492,18,0.061354164205347464,0.30217710767203254,0.19822862498022614,9.433232910533814e-06
roberta-large,roberta_large,encoder,Rosch1975,565,10,0.3248768598595736,0.3404456141049836,-0.0862080548743784,0.0405189936010914
roberta-large,roberta_large,encoder,Rosch1973,48,8,0.02704018591886293,0.14209506762359142,-0.08210399855659256,0.5790472211634192
Qwen/Qwen2.5-1.5B,Qwen2_5_1_5B,decoder,McCloskey1978,492,18,0.09643216018292637,0.2611340253747555,0.14256168890518414,0.0015226302434292998
Qwen/Qwen2.5-1.5B,Qwen2_5_1_5B,decoder,Rosch1975,565,10,0.12478063899462243,0.40910180483937314,0.0028388278801138073,0.9463198989745119
Qwen/Qwen2.5-1.5B,Qwen2_5_1_5B,decoder,Rosch1973,48,8,0.12336331607383084,0.316934406343537,-0.23484677813474059,0.108111746177619
Qwen/Qwen1.5-0.5B,Qwen1_5_0_5B,unknown,McCloskey1978,492,18,0.06356542310613363,0.35316349914903694,0.11737028805444444,0.009166293258766984
Qwen/Qwen1.5-0.5B,Qwen1_5_0_5B,unknown,Rosch1975,565,10,0.07305482760976953,0.4885943903299481,-0.018589523869544683,0.6592655133783635
Qwen/Qwen1.5-0.5B,Qwen1_5_0_5B,unknown,Rosch1973,48,8,0.04506248204245797,0.43440255244134096,-0.16322992168365588,0.2676308198804082
word2vec,word2vec,classic,McCloskey1978,492,18,0.5515003237537615,0.5515003237537615,0.4169243156742582,4.120996184617379e-22
word2vec,word2vec,classic,Rosch1975,565,10,0.6131078738919918,0.6131078738919918,-0.304538492619756,1.3696979382837855e-13
word2vec,word2vec,classic,Rosch1973,48,8,0.6700055036459583,0.6700055036459583,-0.28896695190202465,0.04637442958519105
Qwen/Qwen2.5-14B,Qwen2_5_14B,decoder,McCloskey1978,492,18,0.05897196784443343,0.22585423763588558,0.052185630283717144,0.24793635292092073
Qwen/Qwen2.5-14B,Qwen2_5_14B,decoder,Rosch1975,565,10,0.07865463776890656,0.29135453039924614,-0.015118891699290586,0.7198969143712974
Qwen/Qwen2.5-14B,Qwen2_5_14B,decoder,Rosch1973,48,8,-0.012804990674030708,0.35144548201839837,-0.06248815244214523,0.6730750423237912
microsoft/phi-2,phi_2,decoder,McCloskey1978,492,18,0.03716939854029053,0.45099124832969845,0.11698074159024106,0.009401990002119507
microsoft/phi-2,phi_2,decoder,Rosch1975,565,10,0.07184218479126193,0.5927995807321479,-0.037970832380497796,0.3676508262685685
microsoft/phi-2,phi_2,decoder,Rosch1973,48,8,0.03365115208594363,0.7373763704438383,-0.025158273548446297,0.8652194387436678
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek_R1_Distill_Qwen_14B,decoder,McCloskey1978,492,18,0.09129151336334616,0.3782842304787061,0.0529603845595347,0.2409750576364157
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek_R1_Distill_Qwen_14B,decoder,Rosch1975,565,10,0.04075936107535383,0.5156994304353983,-0.013012566908087848,0.7576005243911295
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,DeepSeek_R1_Distill_Qwen_14B,decoder,Rosch1973,48,8,-0.0032765380857827384,0.6861731523683251,-0.049447146715088826,0.7385653224472818
Qwen/Qwen2.5-0.5B,Qwen2_5_0_5B,decoder,McCloskey1978,492,18,0.058489071933958824,0.2861953597649119,0.13634561841104173,0.0024393536465068047
Qwen/Qwen2.5-0.5B,Qwen2_5_0_5B,decoder,Rosch1975,565,10,0.045885136328900615,0.40203479360662414,0.005994456110638626,0.8869438988221736
Qwen/Qwen2.5-0.5B,Qwen2_5_0_5B,decoder,Rosch1973,48,8,-0.00386872920440067,0.38279128846064037,-0.18300878036969143,0.21311455977198265
google/gemma-2-9b,gemma_2_9b,decoder,McCloskey1978,492,18,0.1635464461280272,0.5353164953443565,0.23944026950601988,7.618907130471219e-08
google/gemma-2-9b,gemma_2_9b,decoder,Rosch1975,565,10,0.3013590521811532,0.6403922329853307,-0.11117679654125717,0.008169239845853224
google/gemma-2-9b,gemma_2_9b,decoder,Rosch1973,48,8,0.31480099902178926,0.8024276456777706,-0.2680470052148717,0.06547513414685892
google/gemma-2-2b,gemma_2_2b,decoder,McCloskey1978,492,18,0.11857549345228274,0.3677311901279455,0.2222038892723716,6.406002081017861e-07
google/gemma-2-2b,gemma_2_2b,decoder,Rosch1975,565,10,0.1498421805050823,0.4990137891804312,-0.09661709078106802,0.02162723552095659
google/gemma-2-2b,gemma_2_2b,decoder,Rosch1973,48,8,0.06138584523453761,0.43572861007443225,-0.2544082867253252,0.08099016905805903
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek_R1_Distill_Qwen_32B,decoder,McCloskey1978,492,18,0.04570105921166011,0.4003955843020792,0.05393923101712734,0.23237772937480114
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek_R1_Distill_Qwen_32B,decoder,Rosch1975,565,10,0.04368732084258257,0.492257009071774,-0.012931761694274096,0.7590591356667529
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,DeepSeek_R1_Distill_Qwen_32B,decoder,Rosch1973,48,8,-0.0071250723982903665,0.5348848240698241,-0.04385038175722713,0.7672770289544326
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek_R1_Distill_Qwen_7B,decoder,McCloskey1978,492,18,0.051018217224561124,0.11371198154853639,0.07286997741819068,0.10644725490816746
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek_R1_Distill_Qwen_7B,decoder,Rosch1975,565,10,0.03388015200434104,0.27232365880170833,-0.023512138631261732,0.5770379588177449
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek_R1_Distill_Qwen_7B,decoder,Rosch1973,48,8,0.08531280032600501,0.26387753047537665,-0.09492765418819801,0.5210071571155549
gpt2,gpt2,decoder,McCloskey1978,492,18,0.1912676528289352,0.06400527138336592,0.1728769098121793,0.00011625279294636925
gpt2,gpt2,decoder,Rosch1975,565,10,0.28442497160018354,0.1504332222760008,-0.04743295991045209,0.26033263477348395
gpt2,gpt2,decoder,Rosch1973,48,8,0.17365565541758948,0.14620993698046186,-0.17007644969036045,0.2478008049279617
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,McCloskey1978,492,18,0.05224860156597811,0.41044081326796783,0.13489747581095718,0.002715122080231488
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,Rosch1975,565,10,0.13329356726713665,0.5170206015873378,-0.013464497262002962,0.7494587468531486
Qwen/Qwen2-0.5B,Qwen2_0_5B,unknown,Rosch1973,48,8,-0.03439470163830992,0.4644758319200805,-0.18806217008892578,0.20052935982601375
bert-large-uncased,bert_large_uncased,encoder,McCloskey1978,492,18,0.12032668220213384,0.43750846420303746,0.15561472153706218,0.0005321142924552406
bert-large-uncased,bert_large_uncased,encoder,Rosch1975,565,10,0.15442135731641618,0.2688302895689017,-0.08810210093551439,0.03629583623756864
bert-large-uncased,bert_large_uncased,encoder,Rosch1973,48,8,0.14274513482390885,0.5716707268809527,-0.19480002304790492,0.18457813380484203
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,McCloskey1978,492,18,0.05513842848636804,0.3229187511554954,0.12196777511217845,0.006756492253876559
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,Rosch1975,565,10,0.055645554424171226,0.4808542762770182,-0.012655613452253533,0.7640503028300307
Qwen/Qwen2-1.5B,Qwen2_1_5B,unknown,Rosch1973,48,8,-0.03890547720514799,0.4990117696174915,-0.187192769707122,0.20265631937703582
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,McCloskey1978,492,18,0.06888303532399678,0.2035838485816065,0.12530690659173604,0.005380072843248126
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,Rosch1975,565,10,0.2212485511942764,0.27853085119927407,0.012621747784216318,0.7646630770510445
Qwen/Qwen1.5-4B,Qwen1_5_4B,unknown,Rosch1973,48,8,-0.002916929139076157,0.2899614320802668,-0.10378467057782381,0.4826874145525687
glove,glove,classic,McCloskey1978,492,18,0.4943324820985991,0.4943324820985991,0.44295424521065474,4.643629751934338e-25
glove,glove,classic,Rosch1975,565,10,0.4974557771471356,0.4974557771471356,-0.304112685018385,1.486378030382482e-13
glove,glove,classic,Rosch1973,48,8,0.6803021489095445,0.6803021489095445,-0.34710810243515106,0.015643663111198036
microsoft/deberta-large,deberta_large,encoder,McCloskey1978,492,18,0.07512407285717064,0.3569482723399109,0.1787313980825252,6.705100291731434e-05
microsoft/deberta-large,deberta_large,encoder,Rosch1975,565,10,0.2518175756300219,0.34817323704650105,-0.04539243697718415,0.2814214554637907
microsoft/deberta-large,deberta_large,encoder,Rosch1973,48,8,0.051484486616105614,0.34629784014386017,-0.15850255710759795,0.2819222054401935
bert-base-uncased,bert_base_uncased,encoder,McCloskey1978,492,18,0.13134632857685757,0.4824330956000473,0.15521721788013668,0.0005501110327403913
bert-base-uncased,bert_base_uncased,encoder,Rosch1975,565,10,0.18096094849768488,0.430361770126966,-0.07691096139125135,0.06772825443273194
bert-base-uncased,bert_base_uncased,encoder,Rosch1973,48,8,0.27516436371522257,0.7048617808536398,-0.18002021655724096,0.22081163237791443
Qwen/Qwen2-7B,Qwen2_7B,decoder,McCloskey1978,492,18,0.07086804780877308,0.3018661114257996,0.1627570410467402,0.0002888019862139726
Qwen/Qwen2-7B,Qwen2_7B,decoder,Rosch1975,565,10,0.09896187725052828,0.4817679697812488,-0.037145665058440414,0.3781602582365662
Qwen/Qwen2-7B,Qwen2_7B,decoder,Rosch1973,48,8,0.12293021562852356,0.44264652833425944,-0.07188854407039838,0.6272800050587974
